Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,Number of neighbors sitting around you?,Did you stand up?,"You can get £100 if you win a local DM competition, or we don’t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would get then? ",Give a random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
4/3/2017 15:50:11,Artificial Intelligence,yes,1,unknown,nee,male,neither,03-07-1991,1,no,10,8,01:00,sdf,sdf
4/3/2017 15:50:19,MSc Finance,no,unknown,mu,nee,male,fat,02-12-1990,5,no,"0,30",2,10:30,sun,beer
4/3/2017 15:50:36,M.Sc. AI,yes,1,mu,ja,male,unknown,03/09/1991,4,no,"It depends, how many is ""everyone""?",1,12:30am,Sleep late,Donuts
4/3/2017 15:50:44,mAI,yes,1,mu,ja,male,neither,01-01-1970,200,no,0,456,01:02,good food,no programming errors
4/3/2017 15:50:59,MSc Computational Science,yes,0,mu,nee,male,neither,19/01/1991,4,no,100,19,2:00,Movie,Sleep
4/3/2017 15:51:00,Master Business Analytics,yes,1,mu,ja,male,I have no idea what you are talking about,27-11-1990,1,no,0.25,No,3:00,Food,Sleep
4/3/2017 15:51:10,Bioinformatics,no,1,mu,ja,male,fat,30.4.1990,1,no,60,5,23:00,SUN,football
4/3/2017 15:51:11,Business Analytics,yes,1,mu,ja,male,fat,2 april 1994,5,no,30 cents,66,12 o'clock,Food,Positivity
4/3/2017 15:51:20,Information Sciences,yes,0,mu,ja,female,I have no idea what you are talking about,19-04-1990,0,no,0.12,19,1,Good breakfast,Good dinner
4/3/2017 15:51:26,Computational science ,no,0,mu,nee,unknown,slim,15/08/1993,2,no,250,150,656,566,46555
4/3/2017 15:51:34,Ba master,yes,1,mu,ja,unknown,neither,26-05-1990,1,no,1,69,1,Waking up,Dancing
4/3/2017 15:51:34,Bio-informatics,yes,0,mu,ja,female,slim,14/07/1995,1,no,0.33,66,23,Chocolate,sunny
4/3/2017 15:51:44,Master in Artificial Intelligence,no,0,mu,ja,male,I have no idea what you are talking about,28/05/1990,4,no,0.16,7,Yesterday,sleep,snooze
4/3/2017 15:51:50,Life sciences ,no,0,unknown,nee,female,fat,22-12-1993,2,no,100,23,23:30,Netflix and food,Visiting family
4/3/2017 15:51:51,ai,no,0,unknown,unknown,male,unknown,11 1 ,1,no,1,7,2222,u,e
4/3/2017 15:51:55,Econometrics,no,0,mu,nee,male,I have no idea what you are talking about,July,2,no,0,34,8,Yes,No
4/3/2017 15:52:10,AI,yes,1,mu,ja,male,neither,27/03/1994,3,no,0,9,Half past 11,Sunny day,Not rainy
4/3/2017 15:52:10,Bioinformatics,yes,0,mu,nee,male,slim,17-03-1981,1,no,100,random,0:00,unproper,again
